job_id,role_name,company_name,location,link
20,Desenvolvedor PYTHON **Híbrida SP**,Prime Control,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=0dbb164d206ee305&bb=RjOpfypjXRWIAUZMJAwIwQ1wXbdDzbsf0HBZ7hYTcXtcaltKFcC7U-kOH1SyBEyijQ5UhPO7q4wElp6qzrAdpDsZuGglGoUJMFc2fwemXKo%3D&xkcb=SoD-67M3EEV3NGWbAp0ObzkdCdPP&fccid=26dabeb3b5e63829&vjs=3
21,Estágio em Programação de IA,Korp,,https://br.indeed.com/rc/clk?jk=a037349a95389c6e&bb=RjOpfypjXRWIAUZMJAwIwfyXgwB4AyJ3tia7xUXPcQSJtanf_uuiCSQwetjWMXt2S-kQ6NgNcrvq7qtrFZ_nmZ7CxXgXJeypq_vQDnar5kc%3D&xkcb=SoBj67M3EEV3NGWbAp0NbzkdCdPP&fccid=d7cda233e70b60b4&vjs=3
22,Cientista de dados,innolevels,,https://br.indeed.com/rc/clk?jk=8a494935d2d4c59b&bb=RjOpfypjXRWIAUZMJAwIwRkoWgqQhmyfx4qhTNIzUGzuzetP8onD8uXCnH0Yx1Wirz-tmu73OHVbRrbgje7uKyBF4zS8hXZdMxGsi138LNs%3D&xkcb=SoDX67M3EEV3NGWbAp0MbzkdCdPP&fccid=b98f3184c24b89e7&cmp=Innolevels&ti=Cientista+De+Dados&vjs=3
23,Estagiário(a) de Desenvolvimento,Vetta Tecnologia,,https://br.indeed.com/rc/clk?jk=182ab7701b4a6c9e&bb=RjOpfypjXRWIAUZMJAwIwVK6lWWnf_GJsPHjxb_T1j55IMRoeQg_TlF_BD2RMD1gLTzVl1AJUtWgVwH9ItjUeFqR0ApnYkEAV-eouwx8wn4%3D&xkcb=SoA-67M3EEV3NGWbAp0DbzkdCdPP&fccid=c5337d79da68e24d&vjs=3
24,Desenvolvedor Python,innolevels,"Home office in Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=b440c25be2753664&bb=RjOpfypjXRWIAUZMJAwIwb5hNeQvXzcl4T6aYXTrAD2gS7E8VNrpansLXtakx3R2D4wt02VOqO34qJPWkzS0N0GlSG35e7g--GGP0tFuso0%3D&xkcb=SoCK67M3EEV3NGWbAp0CbzkdCdPP&fccid=b98f3184c24b89e7&cmp=Innolevels&ti=Python&vjs=3
25,Dev python/django,Netvagas,,https://br.indeed.com/rc/clk?jk=bde36b5f7750f3aa&bb=RjOpfypjXRWIAUZMJAwIwfzmePWRfj2AmANPJgn3393GvIUQbqfdtI0Byf1qtikGniLPiJzYKpNWBxTrhjcuvIysk6W9f5sRPzBfGGwDwqo%3D&xkcb=SoAX67M3EEV3NGWbAp0BbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
26,Pessoa Desenvolvedora Backend,Bild Desenvolvimento Imobiliário,,https://br.indeed.com/rc/clk?jk=ed4fc3e6a38563bb&bb=RjOpfypjXRWIAUZMJAwIwaNH2m4LflD32FcVzDJaKFV25rZ1dHHAsCVKHKuLlJC8fR_Xz6V7VcLn-5piw0hInZkUDV5vkz-7jXWKNv8gfiE%3D&xkcb=SoCj67M3EEV3NGWbAp0AbzkdCdPP&fccid=031362d948698b1a&vjs=3
27,Especialista Python,innolevels,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=5ad1db611c9e1c0f&bb=RjOpfypjXRWIAUZMJAwIwfooNJgbzFpOXswBHvWKafZMcU3djxUYDJWd2Y4HDhmue4I3fgemo5ficOITQyEDtxhFfOJTSniCy7p2ivJLv38%3D&xkcb=SoAt67M3EEV3NGWbAp0HbzkdCdPP&fccid=b98f3184c24b89e7&cmp=Innolevels&ti=Especialista+Python&vjs=3
28,DevOps - CloudOps Engineer - Remote Work,BairesDev,"Home office in Recife, PE",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfEGkshao4EhrCCf7LYqKO8VNtf9vkQrewuI3DmTR_-K09aYJ3Y7cb2ftg554nJs8HppoYa9nN8l8HURipquhFQ6k7PwRKIk7_dxM2ZIR-5cVxi1dfwAoAEMsT1VQCaLdNhYqANg5xo0ynRzCUhE2rzkpUEBssD8bViP2sS6tDb9ZI_hMjKOSWrsjSvdUyaY0zqiKxjwOM1tw0_G2uZfdjq38jz-nt3zqGLvqg-eVcVsev91SYmrivtPCZXlG8YTQlLvJFVvD-i7ftwRZASeGOyayZ7eqQHZV903aSDPAbCSLP8LbO9XsCFMnNpxQ3n5GwpUjYW4JKn3ED_KUmVlqiosMOZoE_UC-Z5cGevRFnuyMl-Sv8r0r1BcFMFB3w8ruHclaAkn4TzSuLcl-UP67gpbYlTvdRh9WpBJZBXx1aYduU1D753XlZcBz1MKDDeea6D53wq2fHb3OQjDOBz8V1BpFT-GOytvrdKFn6cFIIOZNNilqzmDzWfKStVOlUXBfWBOVY8duwgHTW0jiFv-YvtqRudkw_r025-FkNjd-6NnMPbDQjCQPmZODvh0A1W8irHkKsd71c9a_OzTrAuFnenXtiMG-gcQ0mDq8kzFo1j2pf-OBeeC49WXeRxKSMxprbYjy5RUWM-pUhRh8gzzMgem7iUMwTePjY-r7f8tu0MqvBZtVxMdd-t82yFHXE2nPs602k8AEbMQ==&xkcb=SoBt6_M3EEV3NGWbAp0GbzkdCdPP&camk=f416UQcMBpBh4BbPTt0PyA==&p=13&fvj=0&vjs=3
29,Analista de Infraestrutura Júnior,Riachuelo,,https://br.indeed.com/rc/clk?jk=1db8548501bf13c8&bb=RjOpfypjXRWIAUZMJAwIwfgld6AkPRhTbgmLD12EiJTvWMGVVFgy0QUGa_YYZaIUpjI2vOeX-0NYQN0u4aqDjaBnOfEiUzHs-qGpp92US0o%3D&xkcb=SoAE67M3EEV3NGWbAp0FbzkdCdPP&fccid=91677252111e9a57&vjs=3
